600000,19991110
600004,20030428
600006,19990727
600007,19990312
600008,20000427
600009,19980218
600010,20010309
600011,20011206
600012,20030107
600015,20030912
600016,20001219
600017,20061017
600018,20061026
600019,20001212
600020,20030808
600021,20031029
600022,20040629
600023,20131219
600026,20020523
600027,20050203
600028,20010808
600029,20030725
600030,20030106
600031,20030703
600033,20010209
600035,20040310
600036,20020409
600037,20010208
600038,20001218
600039,20030325
600048,20060731
600050,20021009
600051,19970410
600052,19970418
600053,19970418
600054,19970506
600055,19970519
600056,19970515
600057,19970604
600058,19970528
600059,19970516
600060,19970422
600061,19970519
600062,19970522
600063,19970528
600064,19970506
600066,19970508
600067,19970508
600068,19970526
600069,19970430
600070,19970604
600071,19970528
600072,19970603
600073,19970704
600074,19970623,del
600075,19970617
600076,19970526
600077,19970520
600078,19970627
600079,19970606
600080,19970612
600081,19970703
600082,19970620
600083,19970606
600084,19970711
600085,19970625
600086,19970606
600088,19970616
600089,19970618
600090,19970616
600091,19970704
600093,19970626
600094,19970703
600095,19970708
600096,19970709
600097,19970619
600098,19970718
600099,19970704
600100,19970627
600101,19970627
600103,19970703
600104,19971125
600105,19970929
600106,19970618
600107,19971106
600108,19970818
600109,19970807
600110,19971007
600111,19970924
600112,19971127
600113,19971021
600114,20040511
600115,19971105
600116,19970804
600117,19971015
600118,19970908
600119,19980115
600120,19971201
600121,19980107
600122,19980420
600123,19981217
600125,19980511
600126,19980311
600127,19980506
600128,19970901
600129,19971118
600130,20000706
600131,19980402
600132,19971030
600133,19980212
600135,19980122
600136,19980303
600137,19980416
600138,19971203
600139,19980225
600141,19990616
600143,20040623
600145,19990923
600146,19990707
600148,19980520
600149,19991014
600150,19980520
600151,19980605
600152,19980609
600153,19980616
600155,19980918
600156,19980527
600157,19980513
600158,19980327
600159,19980526
600160,19980626
600161,19980616
600162,19980609
600163,19980602
600165,19980529
600166,19980602
600167,19990128
600168,19980427
600169,19980904,del
600170,19980623
600171,19980924
600172,19981126
600173,19990415
600175,19990408
600176,19990422
600177,19981119
600178,19981014
600179,19981104
600180,19980703
600182,19990507
600183,19981028
600184,20031106
600185,19990611
600186,19980825
600187,19981111
600188,19980701
600189,19981007
600190,19990609
600191,19981210
600192,19981224
600193,19990527
600195,19990107
600196,19980807
600197,19990916
600198,19981021
600199,19980812
600200,19990401
600201,19990115
600202,19990603
600203,19990514
600206,19990319
600207,19990714
600208,19990623
600209,19990325
600210,19990824
600211,19990721
600212,19990817
600213,19990831
600215,19990909
600216,19991021
600217,19991216
600218,19981203
600219,19991223
600220,19990927
600221,19991125
600222,19991105
600223,20000113
600225,20000127
600226,19991116
600227,20000221
600228,19990119
600229,20000309
